,place,tw_visit,ym
233,Arches_NP_(ARCH),112.0,2015_07
234,Arches_NP_(ARCH),139.0,2015_08
235,Arches_NP_(ARCH),163.0,2015_09
236,Arches_NP_(ARCH),125.0,2015_10
237,Arches_NP_(ARCH),120.0,2015_11
238,Arches_NP_(ARCH),76.0,2015_12
239,Arches_NP_(ARCH),35.0,2016_01
240,Arches_NP_(ARCH),65.0,2016_02
241,Arches_NP_(ARCH),153.0,2016_03
242,Arches_NP_(ARCH),133.0,2016_04
243,Arches_NP_(ARCH),144.0,2016_05
244,Arches_NP_(ARCH),185.0,2016_06
245,Arches_NP_(ARCH),178.0,2016_07
246,Arches_NP_(ARCH),177.0,2016_08
247,Arkansas_Post_NMEM_(ARPO),1.0,2014_04
248,Arkansas_Post_NMEM_(ARPO),0.0,2014_05
249,Arkansas_Post_NMEM_(ARPO),2.0,2014_06
250,Arkansas_Post_NMEM_(ARPO),0.0,2014_07
251,Arkansas_Post_NMEM_(ARPO),0.0,2014_08
252,Arkansas_Post_NMEM_(ARPO),0.0,2014_09
253,Arkansas_Post_NMEM_(ARPO),0.0,2014_10
254,Arkansas_Post_NMEM_(ARPO),0.0,2014_11
255,Arkansas_Post_NMEM_(ARPO),0.0,2014_12
256,Arkansas_Post_NMEM_(ARPO),0.0,2015_01
257,Arkansas_Post_NMEM_(ARPO),0.0,2015_02
258,Arkansas_Post_NMEM_(ARPO),0.0,2015_03
259,Arkansas_Post_NMEM_(ARPO),0.0,2015_04
260,Arkansas_Post_NMEM_(ARPO),0.0,2015_05
261,Arkansas_Post_NMEM_(ARPO),0.0,2015_06
262,Arkansas_Post_NMEM_(ARPO),0.0,2015_07
263,Arkansas_Post_NMEM_(ARPO),0.0,2015_08
264,Arkansas_Post_NMEM_(ARPO),0.0,2015_09
265,Arkansas_Post_NMEM_(ARPO),0.0,2015_10
266,Arkansas_Post_NMEM_(ARPO),0.0,2015_11
267,Arkansas_Post_NMEM_(ARPO),0.0,2015_12
268,Arkansas_Post_NMEM_(ARPO),0.0,2016_01
269,Arkansas_Post_NMEM_(ARPO),0.0,2016_02
270,Arkansas_Post_NMEM_(ARPO),1.0,2016_03
271,Arkansas_Post_NMEM_(ARPO),0.0,2016_04
272,Arkansas_Post_NMEM_(ARPO),0.0,2016_05
273,Arkansas_Post_NMEM_(ARPO),1.0,2016_06
274,Arkansas_Post_NMEM_(ARPO),2.0,2016_07
275,Arkansas_Post_NMEM_(ARPO),0.0,2016_08
276,Arlington_House_The_R.E._Lee_MEM_(ARHO),3.0,2014_01
277,Arlington_House_The_R.E._Lee_MEM_(ARHO),4.0,2014_02
278,Arlington_House_The_R.E._Lee_MEM_(ARHO),7.0,2014_03
279,Arlington_House_The_R.E._Lee_MEM_(ARHO),17.0,2014_04
280,Arlington_House_The_R.E._Lee_MEM_(ARHO),18.0,2014_05
281,Arlington_House_The_R.E._Lee_MEM_(ARHO),10.0,2014_06
282,Arlington_House_The_R.E._Lee_MEM_(ARHO),6.0,2014_07
283,Arlington_House_The_R.E._Lee_MEM_(ARHO),5.0,2014_08
284,Arlington_House_The_R.E._Lee_MEM_(ARHO),2.0,2014_09
285,Arlington_House_The_R.E._Lee_MEM_(ARHO),5.0,2014_10
286,Arlington_House_The_R.E._Lee_MEM_(ARHO),4.0,2014_11
287,Arlington_House_The_R.E._Lee_MEM_(ARHO),7.0,2014_12
288,Arlington_House_The_R.E._Lee_MEM_(ARHO),1.0,2015_01
289,Arlington_House_The_R.E._Lee_MEM_(ARHO),3.0,2015_02
290,Arlington_House_The_R.E._Lee_MEM_(ARHO),6.0,2015_03
291,Arlington_House_The_R.E._Lee_MEM_(ARHO),5.0,2015_04
292,Arlington_House_The_R.E._Lee_MEM_(ARHO),9.0,2015_05
293,Arlington_House_The_R.E._Lee_MEM_(ARHO),3.0,2015_06
294,Arlington_House_The_R.E._Lee_MEM_(ARHO),3.0,2015_07
295,Arlington_House_The_R.E._Lee_MEM_(ARHO),4.0,2015_08
296,Arlington_House_The_R.E._Lee_MEM_(ARHO),3.0,2015_09
297,Arlington_House_The_R.E._Lee_MEM_(ARHO),7.0,2015_10
298,Arlington_House_The_R.E._Lee_MEM_(ARHO),2.0,2015_11
299,Arlington_House_The_R.E._Lee_MEM_(ARHO),3.0,2015_12
300,Arlington_House_The_R.E._Lee_MEM_(ARHO),0.0,2016_01
301,Arlington_House_The_R.E._Lee_MEM_(ARHO),0.0,2016_02
302,Arlington_House_The_R.E._Lee_MEM_(ARHO),6.0,2016_03
303,Arlington_House_The_R.E._Lee_MEM_(ARHO),1.0,2016_04
304,Arlington_House_The_R.E._Lee_MEM_(ARHO),0.0,2016_05
305,Arlington_House_The_R.E._Lee_MEM_(ARHO),0.0,2016_06
