,fl_visit,place,ym
483,1.0,Bent's_Old_Fort_NHS_(BEOL),2014_04
484,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_05
485,1.0,Bent's_Old_Fort_NHS_(BEOL),2014_06
486,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_07
487,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_08
488,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_09
489,1.0,Bent's_Old_Fort_NHS_(BEOL),2014_10
490,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_11
491,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_12
492,0.0,Bent's_Old_Fort_NHS_(BEOL),2015_01
493,0.0,Bent's_Old_Fort_NHS_(BEOL),2015_02
494,3.0,Bent's_Old_Fort_NHS_(BEOL),2015_03
495,0.0,Bent's_Old_Fort_NHS_(BEOL),2015_04
496,0.0,Bent's_Old_Fort_NHS_(BEOL),2015_05
