,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17
CHURCHILL_WAR_ROOMS_(IWM)_FY_Total,"322,055","304,474","298,904","306,600","282,358","315,121","336,138","361,146","366,150","470,076","480,708","495,075","190,050"
IWM_DUXFORD _April,"34,062","27,624","33,943","33,324","23,622","30,091","29,915","32,080","30,907","29,638","32,447","24,611","28,683"
IWM_DUXFORD _May,"35,908","60,646","34,138","43,783","40,862","41,220","39,159","33,994","38,240","46,427","51,457","49,687","44,260"
IWM_DUXFORD _June,"65,702","39,785","39,451","37,909","31,093","33,139","31,631","34,402","47,153","31,274","31,704","26,056","29,648"
IWM_DUXFORD _July,"72,777","82,918","70,867","75,863","73,115","63,965","62,114","65,503","42,399","62,968","63,299","62,631","59,631"
IWM_DUXFORD _August,"54,248","56,788","51,304","53,665","46,515","54,220","50,159","47,999","46,864","44,245","45,136","40,914", - 
IWM_DUXFORD _September,"54,686","61,053","60,199","64,508","43,792","51,053","72,730","54,376","57,734","47,905","63,624","62,899", - 
IWM_DUXFORD _October,"40,298","54,149","45,435","51,892","34,135","38,721","42,164","39,953","34,942","32,745","31,042","27,133", - 
IWM_DUXFORD _November,"22,943","17,387","21,321","24,857","24,950","18,169","21,072","21,247","25,311","22,365","28,728","21,746", - 
IWM_DUXFORD _December,"10,114","9,755","11,645","10,362","9,783","8,908","6,439","10,216","9,353","9,622","10,565","10,572", - 
IWM_DUXFORD _January,"11,387","9,773","10,029","11,325","10,118","8,466","9,594","9,689","8,940","7,815","11,510","11,183", - 
IWM_DUXFORD _February,"17,839","17,003","18,408","19,361","16,461","18,076","20,362","15,004","20,021","15,987","19,657","18,354", - 
IWM_DUXFORD _March,"23,985","19,216","21,234","24,028","21,057","17,337","17,682","17,727","21,490","20,664","16,703","26,044", - 
IWM_DUXFORD _FY_Total,"443,949","456,097","417,974","450,877","375,503","383,365","403,021","382,190","383,354","371,655","405,872","381,830","162,222"
IWM_NORTH_April,"25,044","19,133","25,243","19,249","15,633","20,654","25,546","23,975","36,665","29,439","41,103","26,884","24,529"
IWM_NORTH_May,"19,160","21,199","19,735","20,384","21,997","19,345","20,947","25,788","25,355","27,918","38,331","27,209","21,535"
IWM_NORTH_June,"20,653","18,571","15,324","17,449","18,372","17,500","18,376","27,410","27,393","24,173","30,771","21,017","20,257"
IWM_NORTH_July,"23,074","19,990","19,119","22,699","22,852","23,214","22,710","34,329","30,417","27,763","38,579","28,642","24,248"
IWM_NORTH_August,"27,188","25,916","31,199","24,120","31,746","28,155","30,654","37,435","38,036","35,085","56,833","33,922", - 
IWM_NORTH_September,"17,383","15,342","17,467","14,241","15,242","16,438","16,532","28,837","21,490","22,784","30,700","18,780", - 
IWM_NORTH_October,"25,624","24,148","23,194","25,496","26,080","24,053","26,454","34,020","28,832","36,844","40,958","26,358", - 
IWM_NORTH_November,"17,176","15,992","17,409","15,673","22,068","17,992","15,219","23,452","21,161","26,527","28,755","19,978", - 
IWM_NORTH_December,"12,023","9,937","11,612","10,268","12,100","10,500","9,665","15,569","15,054","18,532","15,737","15,549", - 
IWM_NORTH_January,"14,720","14,733","13,885","14,038","14,276","10,957","14,862","20,594","17,048","23,033","20,150","24,039", - 
IWM_NORTH_February,"21,195","22,977","20,960","18,894","24,666","26,887","23,339","35,798","26,886","35,381","28,966","35,329", - 
IWM_NORTH_March,"23,825","17,979","18,367","20,831","19,736","23,703","17,282","27,728","25,586","31,112","22,978","28,710", - 
IWM_NORTH_FY_Total,"247,065","225,917","233,514","223,342","244,768","239,398","241,586","334,935","313,923","338,591","393,861","306,417","90,569"
NATIONAL_GALLERY_April,"437,000","455,000","385,000","387,000","358,000","443,000","402,000","399,000","549,000","531,000","576,000","582,000","593,859"
NATIONAL_GALLERY_May,"391,000","417,000","344,000","406,000","341,000","415,000","379,000","395,000","440,000","533,000","575,000","562,000","482,986"
NATIONAL_GALLERY_June,"319,000","276,000","268,000","303,000","302,000","346,000","368,000","425,000","409,000","489,000","516,000","433,000","469,255"
NATIONAL_GALLERY_July,"460,000","332,000","411,000","377,000","454,000","466,000","519,000","542,000","415,000","583,000","581,000","560,000","506,415"
NATIONAL_GALLERY_August,"443,000","268,000","440,000","382,000","493,000","481,000","568,000","517,000","351,000","568,000","681,000","459,000", - 
NATIONAL_GALLERY_September,"325,000","277,000","284,000","259,000","296,000","305,000","345,000","339,000","373,000","391,000","381,000","309,000", - 
NATIONAL_GALLERY_October,"425,000","299,000","452,000","282,000","356,000","334,000","448,000","402,000","430,000","476,000","536,000","436,000", - 
NATIONAL_GALLERY_November,"448,000","330,000","505,000","307,000","344,000","366,000","402,000","444,000","415,000","402,000","505,000","499,000", - 
NATIONAL_GALLERY_December,"410,000","297,000","473,000","285,000","350,000","387,000","372,000","508,000","395,000","459,000","596,000","446,337", - 
NATIONAL_GALLERY_January,"402,000","291,000","435,000","251,000","340,000","370,000","422,000","530,000","413,000","427,000","536,000","434,289", - 
NATIONAL_GALLERY_February,"342,000","316,000","324,000","286,000","339,000","371,000","407,000","414,000","494,000","493,000","475,000","564,105", - 
NATIONAL_GALLERY_March,"507,000","395,000","414,000","389,000","466,000","411,000","453,000","443,000","692,000","551,000","576,000","578,834", - 
NATIONAL_GALLERY_FY_Total,"4,909,000","3,953,000","4,735,000","3,914,000","4,439,000","4,695,000","5,085,000","5,358,000","5,376,000","5,903,000","6,534,000","5,863,565","2,052,515"
NHM_TOTAL_April,"334,563","317,159","427,859","377,222","381,344","375,266","473,832","435,006","563,292","507,818","535,622","509,192","436,800"
NHM_TOTAL_May,"224,639","266,981","289,375","302,140","315,724","302,056","363,554","347,975","371,562","467,023","456,755","477,414","365,201"
NHM_TOTAL_June,"241,971","259,160","235,277","235,274","244,244","249,596","346,115","368,839","397,215","407,379","423,197","405,309","356,587"
NHM_TOTAL_July,"346,481","274,360","368,301","362,649","370,435","357,792","461,953","467,542","438,993","531,883","528,358","535,820","420,078"
NHM_TOTAL_August,"444,688","307,145","382,191","451,542","494,078","504,349","592,534","581,974","538,208","587,485","603,963","607,731", - 
NHM_TOTAL_September,"215,577","193,935","260,544","230,292","234,777","313,639","318,902","359,336","364,002","385,800","365,915","398,604", - 
NHM_TOTAL_October,"328,146","286,137","350,074","313,229","308,171","435,690","448,191","461,111","465,167","474,547","455,093","503,202", - 
NHM_TOTAL_November,"192,761","233,607","247,359","242,251","239,766","350,938","321,562","343,098","409,545","395,478","387,150","354,632", - 
NHM_TOTAL_December,"187,571","264,335","268,148","246,893","245,978","353,290","299,451","359,332","388,126","390,798","367,438","332,606", - 
NHM_TOTAL_January,"223,862","265,744","261,511","254,620","292,456","332,557","360,178","384,493","373,745","433,845","400,768","363,712", - 
NHM_TOTAL_February,"284,144","342,435","343,704","349,749","344,744","417,306","432,564","424,552","485,675","505,451","458,190","426,559", - 
NHM_TOTAL_March,"304,075","297,719","319,258","379,059","341,543","386,088","390,811","413,723","492,819","484,032","453,499","437,016", - 
NHM_TOTAL_FY_Total,"3,328,478","3,308,717","3,753,601","3,744,920","3,813,260","4,378,567","4,809,647","4,946,981","5,288,349","5,571,539","5,435,948","5,351,797","1,578,666"
(NHM)_SOUTH_KENSINGTON_April,"325,140","305,659","414,776","366,732","368,596","361,496","461,112","425,854","542,419","489,652","519,565","496,449","419,696"
(NHM)_SOUTH_KENSINGTON_May,"218,407","260,955","279,530","285,995","305,969","292,977","356,350","339,748","362,692","454,598","440,119","464,919","354,802"
(NHM)_SOUTH_KENSINGTON_June,"236,144","251,676","230,240","230,240","238,789","243,455","340,149","361,132","383,091","399,752","415,608","398,148","346,274"
(NHM)_SOUTH_KENSINGTON_July,"339,329","264,990","361,698","351,772","363,119","345,827","453,492","459,189","427,659","522,705","519,328","523,216","410,789"
(NHM)_SOUTH_KENSINGTON_August,"427,512","293,717","361,648","434,628","477,171","488,362","573,466","564,689","520,083","571,463","582,332","585,252", - 
(NHM)_SOUTH_KENSINGTON_September,"210,593","189,039","253,395","224,596","228,626","308,386","312,784","352,458","356,958","377,766","358,142","389,848", - 
(NHM)_SOUTH_KENSINGTON_October,"317,890","275,632","337,240","302,917","298,421","424,819","436,478","450,625","455,651","461,034","442,361","490,153", - 
(NHM)_SOUTH_KENSINGTON_November,"187,125","227,636","241,796","236,360","233,390","343,806","315,135","335,872","400,368","386,122","378,643","345,598", - 
(NHM)_SOUTH_KENSINGTON_December,"182,573","257,977","261,557","240,852","240,558","347,539","293,763","349,171","378,919","382,255","359,543","324,635", - 
(NHM)_SOUTH_KENSINGTON_January,"215,146","255,297","252,575","243,505","283,338","325,006","348,078","371,681","361,756","417,706","386,651","350,436", - 
(NHM)_SOUTH_KENSINGTON_February,"270,586","328,641","330,561","334,716","330,406","400,127","408,868","408,337","463,745","481,218","437,719","407,559", - 
(NHM)_SOUTH_KENSINGTON_March,"294,295","289,426","311,217","365,640","332,964","378,323","383,108","404,791","479,149","473,715","441,435","423,450", - 
(NHM)_SOUTH_KENSINGTON_FY_Total,"3,224,740","3,200,645","3,636,233","3,617,953","3,701,347","4,260,123","4,682,783","4,823,547","5,132,490","5,417,986","5,281,446","5,199,663","1,531,561"
(NHM)_TRING_April,"9,423","11,500","13,083","10,490","12,748","13,770","12,720","9,152","20,873","18,166","16,057","12,743","17,104"
(NHM)_TRING_May,"6,232","6,026","9,845","16,145","9,755","9,079","7,204","8,227","8,870","12,425","16,636","12,495","10,399"
(NHM)_TRING_June,"5,827","7,484","5,037","5,034","5,455","6,141","5,966","7,707","14,124","7,627","7,589","7,161","10,313"
(NHM)_TRING_July,"7,152","9,370","6,603","10,877","7,316","11,965","8,461","8,353","11,334","9,178","9,030","12,604","9,289"
(NHM)_TRING_August,"17,176","13,428","20,543","16,914","16,907","15,987","19,068","17,285","18,125","16,022","21,631","22,479", - 
(NHM)_TRING_September,"4,984","4,896","7,149","5,696","6,151","5,253","6,118","6,878","7,044","8,034","7,773","8,756", - 
(NHM)_TRING_October,"10,256","10,505","12,834","10,312","9,750","10,871","11,713","10,486","9,516","13,513","12,732","13,049", - 
(NHM)_TRING_November,"5,636","5,971","5,563","5,891","6,376","7,132","6,427","7,226","9,177","9,356","8,507","9,034", - 
(NHM)_TRING_December,"4,998","6,358","6,591","6,041","5,420","5,751","5,688","10,161","9,207","8,543","7,895","7,971", - 
(NHM)_TRING_January,"8,716","10,447","8,936","11,115","9,118","7,551","12,100","12,812","11,989","16,139","14,117","13,276", - 
(NHM)_TRING_February,"13,558","13,794","13,143","15,033","14,338","17,179","23,696","16,215","21,930","24,233","20,471","19,000", - 
(NHM)_TRING_March,"9,780","8,293","8,041","13,419","8,579","7,765","7,703","8,932","13,670","10,317","12,064","13,566", - 
(NHM)_TRING_FY_Total,"103,738","108,072","117,368","126,967","111,913","118,444","126,864","123,434","155,859","153,553","154,502","152,134","47,105"
ROYAL_MUSEUMS_GREENWICH _April,"159,821","122,806","166,096","189,520","154,729","222,058","224,917","169,121","196,325","241,926","263,261","221,937","194,406"
ROYAL_MUSEUMS_GREENWICH _May,"148,925","152,802","142,350","152,341","219,292","264,900","247,369","152,962","211,140","220,841","207,777","223,706","211,353"
ROYAL_MUSEUMS_GREENWICH _June,"146,621","136,695","140,324","139,657","196,062","217,987","234,666","149,098","204,040","215,888","195,547","195,548","201,846"
ROYAL_MUSEUMS_GREENWICH _July,"204,320","189,436","212,171","220,439","253,136","315,371","340,032","222,227","110,550","271,527","274,210","256,257","281,303"
ROYAL_MUSEUMS_GREENWICH _August,"198,388","196,001","218,073","231,700","308,931","379,699","367,379","225,874","120,382","309,642","301,569","316,879", - 
ROYAL_MUSEUMS_GREENWICH _September,"111,112","121,580","127,715","136,929","154,027","184,619","191,569","137,796","140,835","181,648","186,856","175,760", - 
ROYAL_MUSEUMS_GREENWICH _October,"113,279","148,604","125,402","136,794","179,819","186,399","215,455","175,369","185,885","183,695","195,685","206,563", - 
ROYAL_MUSEUMS_GREENWICH _November,"71,910","89,541","88,846","92,879","104,292","101,225","109,557","114,862","149,572","141,732","127,062","130,511", - 
ROYAL_MUSEUMS_GREENWICH _December,"73,589","68,277","84,033","84,815","97,247","94,937","77,267","96,284","121,309","129,794","119,809","132,733", - 
ROYAL_MUSEUMS_GREENWICH _January,"76,891","74,300","85,067","98,152","110,971","101,287","119,804","124,574","132,126","164,439","140,492","145,611", - 
ROYAL_MUSEUMS_GREENWICH _February,"85,369","86,406","99,173","128,389","129,714","129,970","147,412","136,214","161,820","189,714","150,302","177,127", - 
ROYAL_MUSEUMS_GREENWICH _March,"127,753","106,594","126,425","154,199","160,024","180,334","157,736","154,157","195,215","224,644","168,281","220,545", - 
ROYAL_MUSEUMS_GREENWICH _FY_Total,"1,517,978","1,493,042","1,615,675","1,765,814","2,068,244","2,378,786","2,433,163","1,858,538","1,929,199","2,475,490","2,330,851","2,403,177","888,908"
NATIONAL_MUSEUMS_LIVERPOOL_April,"134,962","104,430","168,491","180,892","198,561","208,255","205,680","195,080","402,249","261,061","243,679","251,703","250,090"
