,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17
(T&W)_HATTON_GALLERY_April, -   , -   , -   , -   , -   ,"2,467","1,206","1,360","1,208","2,083","2,766", -   , -   
(T&W)_HATTON_GALLERY_May, -   , -   , -   , -   , -   ,"4,107","1,714","1,326",683,"3,239","3,418", -   , -   
(T&W)_HATTON_GALLERY_June, -   , -   , -   , -   , -   ,"1,888","1,896","2,737","2,226","2,569","3,525", -   , -   
(T&W)_HATTON_GALLERY_July, -   , -   , -   , -   , -   ,"1,814","1,867","2,581","1,778","2,719","2,667", -   , -   
(T&W)_HATTON_GALLERY_August, -   , -   , -   , -   , -   ,"1,597","2,043","2,144","1,900","2,183","2,135", -   , -   
(T&W)_HATTON_GALLERY_September, -   , -   , -   , -   , -   ,"1,697","1,530","1,443","2,353","2,157","2,867", -   , -   
(T&W)_HATTON_GALLERY_October, -   , -   , -   , -   ,"4,531","1,772","2,427","2,697","2,400","2,784","3,939", -   , -   
(T&W)_HATTON_GALLERY_November, -   , -   , -   , -   ,"2,283",854,"1,634","1,337","1,524","2,852","3,407", -   , -   
(T&W)_HATTON_GALLERY_December, -   , -   , -   , -   ,"3,701",816,"4,648","1,316","1,002","1,646","1,305", -   , -   
(T&W)_HATTON_GALLERY_January, -   , -   , -   , -   ,420,"1,062","1,466","1,330","1,388","2,557","1,627", -   , -   
(T&W)_HATTON_GALLERY_February, -   , -   , -   , -   ,"3,110","1,412","1,787","1,309","1,983","4,061","3,010", -   , -   
(T&W)_HATTON_GALLERY_March, -   , -   , -   , -   ,"2,983","2,646","2,303","2,097","2,560","3,714","3,163", -   , -   
(T&W)_HATTON_GALLERY_FY_Total, -   , -   , -   , -   ,"17,028","22,132","24,521","21,677","21,005","32,564","33,829", -   , -   
(T&W)_STEPHENSON _April,334,173,191,"6,163","3,763","2,346","2,976","2,134","3,742","4,144","6,528", -   , -   
(T&W)_STEPHENSON _May,"4,085","3,475","2,771","5,679","2,757","1,801","2,099","3,052","2,229","2,886","4,786", -   , -   
(T&W)_STEPHENSON _June,"3,790","3,423","1,803","3,176","2,416","1,191","1,482","1,985","4,224","3,012","3,279", -   , -   
(T&W)_STEPHENSON _July,"5,399","6,399","2,621","6,986","4,595","3,936","2,581","2,905","3,174","3,566","3,971", -   , -   
(T&W)_STEPHENSON _August,"7,519","10,391","8,260","9,422","9,368","4,742","4,852","5,618","6,115","7,148","6,697", -   , -   
(T&W)_STEPHENSON _September,"5,828","3,029","3,084","1,804","1,920","1,610","1,607","2,007","2,337","2,369","2,313", -   , -   
(T&W)_STEPHENSON _October,"1,912","3,058","3,601","4,460","2,805","1,350","3,120","2,876","3,243","3,511","3,808", -   , -   
(T&W)_STEPHENSON _November,409,149,146,467,463,"1,208",456,156,897,"1,464","1,529", -   , -   
(T&W)_STEPHENSON _December, -   ,110,"1,231","1,705","2,284","2,378","1,582","2,284","3,192","5,100","2,756", -   , -   
(T&W)_STEPHENSON _January,228,132,126,118,26,135,138,297,179, -   , -   , -   , -   
(T&W)_STEPHENSON _February,695,196,"1,786","1,204","1,017","1,796","1,202","1,608","1,182","1,743","6,085", -   , -   
(T&W)_STEPHENSON _March,908,287,516,"1,434",329,399,195,686,"2,650",484, -   , -   , -   
(T&W)_STEPHENSON _FY_Total,"31,107","30,822","26,136","42,618","31,743","22,892","22,290","25,608","33,164","35,427","41,752", -   , -   
(T&W)_SUNDERLAND_April,"27,179","24,361","32,609","28,527","33,204","32,946","33,598","32,192","27,869","29,157","30,650", -   , -   
(T&W)_SUNDERLAND_May,"20,746","22,132","27,836","30,287","27,479","30,627","29,971","25,191","23,155","29,782","35,155", -   , -   
(T&W)_SUNDERLAND_June,"30,713","24,526","28,063","27,693","26,453","28,416","31,289","25,910","26,410","33,795","25,922", -   , -   
(T&W)_SUNDERLAND_July,"29,780","27,232","32,035","35,133","32,418","41,212","33,576","36,454","28,760","40,470","33,825", -   , -   
(T&W)_SUNDERLAND_August,"39,037","40,045","44,185","41,110","39,688","47,086","45,326","45,792","35,184","50,390","40,548", -   , -   
(T&W)_SUNDERLAND_September,"28,357","26,205","25,268","28,206","21,398","29,696","28,692","25,407","24,047","28,802","24,764", -   , -   
(T&W)_SUNDERLAND_October,"22,650","30,294","29,334","26,235","24,620","25,300","27,343","26,671","29,515","26,476","33,123", -   , -   
(T&W)_SUNDERLAND_November,"20,843","21,364","21,921","20,617","19,723","18,765","18,793","20,222","24,643","22,105","24,862", -   , -   
(T&W)_SUNDERLAND_December,"23,651","19,420","22,185","20,167","19,416","17,530","21,047","18,027","13,209","15,238","19,861", -   , -   
(T&W)_SUNDERLAND_January,"14,573","20,402","21,650","20,637","20,667","17,350","19,087","20,256","14,937","17,154","17,922", -   , -   
(T&W)_SUNDERLAND_February,"22,602","27,739","27,469","26,074","26,491","27,982","26,554","24,951","27,616","24,825","25,372", -   , -   
(T&W)_SUNDERLAND_March,"27,674","23,335","24,202","22,028","24,380","26,084","24,832","26,006","25,502","23,897","22,134", -   , -   
(T&W)_SUNDERLAND_FY_Total,"307,805","307,055","336,757","326,714","315,937","342,994","340,108","327,079","300,847","342,091","334,138", -   , -   
(T&W)_MUSEUM_STORE_April,"12,054","3,362","11,255","11,230","5,908","11,009","8,982", -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_May,"9,652","7,608","8,367","9,154","10,115","12,570","9,870", -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_June,"9,076","7,426","8,363","7,220","8,215","8,036","9,422", -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_July,"14,126","10,904","12,501","11,406","11,104","12,044","11,189", -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_August,"22,402","24,681","19,706","19,591","17,457","21,536","19,894", -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_September,"8,901","8,602","9,426","9,629","7,690","10,163","10,654", -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_October,"6,825","6,818","8,059","7,523","9,053","10,133","10,053", -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_November,94, -   ,517,205,98,589,200, -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_December, -   ,18,45,92, -   ,354,354, -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_January,189,18,119,124, -   ,216,226, -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_February,104,37,437,273,637,"1,724", -   , -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_March,"4,179",63,124,"2,809",269,"1,170", -   , -   , -   , -   , -   , -   , -   
(T&W)_MUSEUM_STORE_FY_Total,"87,602","69,537","78,919","79,256","70,546","89,544","80,844", -   , -   , -   , -   , -   , -   
V&A_TOTAL_April,"284,814","247,750","221,774","236,137","193,422","222,458","249,197","277,507","302,125","343,485","296,336","334,602","295,841"
V&A_TOTAL_May,"177,050","175,716","195,721","214,431","164,546","187,654","307,528","217,868","244,387","301,667","267,692","318,730","240,048"
V&A_TOTAL_June,"185,439","171,937","175,315","205,730","228,261","220,373","241,527","245,965","341,451","389,999","352,711","405,912","327,528"
V&A_TOTAL_July,"243,459","216,452","272,293","245,919","192,445","204,535","227,852","341,051","268,108","325,171","299,846","375,493","255,451"
V&A_TOTAL_August,"194,578","166,711","235,599","193,663","264,365","275,252","342,534","279,633","266,608","353,293","329,576","340,811", -   
V&A_TOTAL_September,"156,413","133,337","187,363","214,547","160,759","182,947","237,391","245,040","354,253","316,249","377,363","351,898", -   
V&A_TOTAL_October,"274,796","237,201","301,506","239,950","200,447","206,220","279,419","381,176","299,015","259,762","307,105","275,627", -   
V&A_TOTAL_November,"196,472","162,173","227,724","221,166","249,910","287,915","233,836","268,013","366,789","254,622","294,062","287,449", -   
V&A_TOTAL_December,"145,915","171,206","254,088","237,210","152,341","189,059","150,497","203,935","344,221","246,886","278,175","258,991", -   
V&A_TOTAL_January,"225,170","141,217","205,934","191,288","199,720","302,291","290,094","306,552","320,584","293,270","272,721","268,306", -   
V&A_TOTAL_February,"197,585","186,378","308,659","227,929","216,356","261,189","271,384","284,164","273,525","284,996","290,245","351,922", -   
V&A_TOTAL_March,"190,028","181,879","283,756","195,102","260,810","206,157","217,628","283,916","353,191","277,344","370,372","354,545", -   
V&A_TOTAL_FY_Total,"2,471,719","2,191,957","2,869,732","2,623,072","2,483,382","2,746,050","3,048,887","3,334,820","3,734,257","3,646,744","3,736,204","3,924,286","1,118,868"
(V&A)_SOUTH_KENSINGTON_April,"236,125","201,189","207,260","209,603","157,834","188,295","211,531","239,385","259,280","297,746","246,955","298,058","254,735"
(V&A)_SOUTH_KENSINGTON_May,"149,149","149,637","182,410","187,486","143,795","160,387","271,026","192,706","217,056","275,042","236,287","287,954","214,459"
(V&A)_SOUTH_KENSINGTON_June,"153,784","141,670","161,962","179,462","199,174","187,220","213,795","212,523","304,524","353,396","313,265","369,113","286,648"
(V&A)_SOUTH_KENSINGTON_July,"202,924","186,436","251,643","213,818","170,787","177,804","204,737","300,713","240,557","302,620","271,362","347,982","226,506"
(V&A)_SOUTH_KENSINGTON_August,"144,806","133,854","217,486","161,431","221,746","228,876","291,309","234,313","233,637","316,552","288,037","300,601", -   
(V&A)_SOUTH_KENSINGTON_September,"127,515","113,134","172,916","193,562","140,847","161,419","213,128","218,071","323,516","283,652","339,590","311,840", -   
(V&A)_SOUTH_KENSINGTON_October,"226,986","197,143","281,436","211,647","174,288","178,062","231,887","334,234","266,111","223,053","272,890","242,285", -   
(V&A)_SOUTH_KENSINGTON_November,"163,851","150,478","216,274","197,071","210,280","242,469","202,407","231,531","327,143","212,318","251,291","241,497", -   
(V&A)_SOUTH_KENSINGTON_December,"120,279","160,852","213,338","212,797","132,640","168,317","130,707","176,952","311,952","211,757","241,471","225,013", -   
(V&A)_SOUTH_KENSINGTON_January,"183,633","130,429","167,763","168,317","170,525","267,356","249,053","265,782","288,922","254,382","234,225","234,661", -   
(V&A)_SOUTH_KENSINGTON_February,"148,514","171,910","259,567","182,815","174,261","216,374","220,071","238,749","223,417","229,748","240,056","289,463", -   
(V&A)_SOUTH_KENSINGTON_March,"153,679","165,855","238,987","162,750","224,925","174,808","179,854","243,345","301,992","235,172","328,178","306,528", -   
(V&A)_SOUTH_KENSINGTON_FY_Total,"2,011,245","1,902,587","2,571,042","2,280,759","2,121,102","2,351,387","2,619,505","2,888,304","3,298,107","3,195,438","3,263,607","3,454,995","982,348"
(V&A)_CHILDHOOD_April,"26,642","26,826", -   ,"24,946","35,330","33,998","37,278","37,885","42,627","45,550","48,776","36,182","40,733"
(V&A)_CHILDHOOD_May,"12,172","14,281", -   ,"25,313","20,506","27,022","34,362","24,747","27,078","26,359","30,415","30,170","25,096"
(V&A)_CHILDHOOD_June,"14,983","15,086", -   ,"24,537","28,739","32,847","25,723","33,212","36,766","36,280","38,813","36,161","40,036"
(V&A)_CHILDHOOD_July,"17,540","14,915", -   ,"29,871","21,454","26,530","22,779","40,017","27,470","22,311","28,077","27,052","28,513"
(V&A)_CHILDHOOD_August,"24,505","20,217", -   ,"31,580","42,410","46,153","50,977","45,160","32,791","36,499","41,304","39,942", -   
(V&A)_CHILDHOOD_September,"11,533","9,159", -   ,"20,798","19,754","21,378","24,048","26,799","30,512","32,298","36,901","39,415", -   
(V&A)_CHILDHOOD_October,"27,196","22,892", -   ,"28,064","25,895","27,962","47,169","46,638","32,644","36,069","33,604","32,583", -   
(V&A)_CHILDHOOD_November,"17,956", -   , -   ,"23,858","39,236","45,064","31,178","36,142","39,310","41,743","42,233","45,322", -   
(V&A)_CHILDHOOD_December,"12,804", -   ,"29,925","24,204","19,541","20,380","19,609","26,735","32,067","34,365","36,119","33,466", -   
(V&A)_CHILDHOOD_January,"22,252", -   ,"34,654","22,783","29,016","34,733","40,833","40,540","31,453","38,527","38,195","33,274", -   
(V&A)_CHILDHOOD_February,"27,843", -   ,"47,704","44,784","41,927","44,597","51,095","45,182","49,805","54,750","49,794","61,620", -   
(V&A)_CHILDHOOD_March,"20,001", -   ,"41,950","32,106","35,546","31,096","37,476","40,245","50,738","41,481","41,505","47,420", -   
(V&A)_CHILDHOOD_FY_Total,"235,427","123,376","154,233","332,844","359,354","391,760","422,527","443,302","433,261","446,232","465,736","462,607","134,378"
(V&A)_THEATRE_April,"22,047","19,735","14,514","1,406", -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_May,"15,729","11,798","13,311","1,447", -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_June,"16,672","15,181","13,353","1,540", -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_July,"22,995","15,101","20,650","1,954", -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_August,"25,267","12,640","18,113",505, -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_September,"17,365","11,044","14,447", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_October,"20,614","17,166","20,070", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_November,"14,665","11,695","11,450", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_December,"12,832","10,354","10,825", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_January,"19,285","10,788","3,517", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_February,"21,228","14,468","1,388", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_March,"16,348","16,024","2,819", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_THEATRE_FY_Total,"225,047","165,994","144,457","6,852", -   , -   , -   , -   , -   , -   , -   , -   , -   
(V&A)_BLYTHE_HOUSE_April, -   , -   , -   ,182,258,165,388,237,218,189,605,362,373
(V&A)_BLYTHE_HOUSE_May, -   , -   , -   ,185,245,245,"2,140",415,253,266,990,606,493
(V&A)_BLYTHE_HOUSE_June, -   , -   , -   ,191,348,306,"2,009",230,161,323,633,638,844
(V&A)_BLYTHE_HOUSE_July, -   , -   , -   ,276,204,201,336,321,81,240,407,459,432
(V&A)_BLYTHE_HOUSE_August, -   , -   , -   ,147,209,223,248,160,180,242,235,268, -   
(V&A)_BLYTHE_HOUSE_September, -   , -   , -   ,187,158,150,215,170,225,299,872,643, -   
(V&A)_BLYTHE_HOUSE_October, -   , -   , -   ,239,264,196,363,304,260,640,611,759, -   
(V&A)_BLYTHE_HOUSE_November, -   , -   , -   ,237,394,382,251,340,336,561,538,630, -   
(V&A)_BLYTHE_HOUSE_December, -   , -   , -   ,209,160,362,181,248,202,764,585,512, -   
(V&A)_BLYTHE_HOUSE_January, -   , -   , -   ,188,179,202,208,230,209,361,301,371, -   
(V&A)_BLYTHE_HOUSE_February, -   , -   , -   ,330,168,218,218,233,303,498,395,839, -   
(V&A)_BLYTHE_HOUSE_March, -   , -   , -   ,246,339,253,298,326,461,691,689,597, -   
(V&A)_BLYTHE_HOUSE_FY_Total, -   , -   , -   ,"2,617","2,926","2,903","6,855","3,214","2,889","5,074","6,861","6,684","2,142"
WALLACE_COLLECTION_April,"60,197","18,278","22,474","24,818","29,318","30,570","29,549","31,624","32,956","34,007","29,206","38,096","32,490"
WALLACE_COLLECTION_May,"22,555","18,985","23,287","30,712","32,130","30,197","32,858","34,549","34,479","35,047","32,092","40,402","35,652"
WALLACE_COLLECTION_June,"21,473","18,264","20,039","28,458","30,457","25,249","28,490","28,490","31,450","34,333","32,309","37,346","33,087"
WALLACE_COLLECTION_July,"20,632","15,502","18,593","25,171","30,501","26,727","30,672","35,892","29,496","35,472","32,971","33,061","34,914"
WALLACE_COLLECTION_August,"20,226","14,524","18,727","26,634","29,650","22,961","28,947","32,328","26,420","35,234","30,609","35,048", -   
WALLACE_COLLECTION_September,"19,223","16,387","18,818","26,163","27,848","24,700","26,853","31,943","29,585","32,898","36,332","32,868", -   
WALLACE_COLLECTION_October,"28,190","19,303","26,116","29,153","36,656","44,299","33,209","35,660","32,294","35,710","41,832","36,814", -   
WALLACE_COLLECTION_November,"21,448","21,231","25,941","28,069","32,465","41,208","30,784","33,297","32,645","38,091","39,109","36,078", -   
WALLACE_COLLECTION_December,"18,233","15,961","20,650","21,902","29,204","30,743","23,573","30,596","27,822","32,031","33,396","30,739", -   
WALLACE_COLLECTION_January,"19,149","18,856","24,411","27,103","28,296","35,214","26,730","32,244","29,597","36,497","37,144","34,078", -   
WALLACE_COLLECTION_February,"18,492","22,742","30,164","33,138","26,862","31,239","31,491","31,336","32,947","32,354","39,064","36,401", -   
WALLACE_COLLECTION_March,"18,191","19,181","28,430","34,028","30,399","32,072","33,439","35,789","38,065","33,795","43,772","36,392", -   
WALLACE_COLLECTION_FY_Total,"288,009","219,214","277,650","335,349","363,786","375,179","356,595","393,748","377,756","415,469","427,836","427,323","136,143"
MUSEUM_OF_LONDON_April,"34,158","40,424","38,534","30,330", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_May,"31,006","36,006","32,510","34,275", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_June,"30,417","32,595","26,865","26,293", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_July,"38,545","28,154","27,909","27,792", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_August,"38,014","22,471","37,207","28,846", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_September,"30,916","24,359","25,611","20,664", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_October,"47,732","32,870","39,234","28,432", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_November,"43,130","30,522","34,542","23,965", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_December,"31,183","23,757","22,227","16,383", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_January,"33,103","31,420","27,260","18,598", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_February,"47,901","39,698","35,651","29,711", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_March,"43,585","38,515","31,318","31,703", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_OF_LONDON_FY_Total,"449,690","380,791","378,868","316,992", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_April,"8,450","9,059","8,685","7,288", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_May,"9,461","8,622","7,674","8,328", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_June,"16,400","7,013","6,004","6,761", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_July,"7,868","4,934","6,616","6,907", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_August,"7,840","14,209","15,040","7,237", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_September,"6,396","5,887","5,247","4,731", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_October,"10,246","9,282","8,574","8,616", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_November,"6,871","7,051","5,925","10,721", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_December,"4,729","5,421","5,519","7,674", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_January,"9,343","5,360","6,101","7,204", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_February,"9,929","12,452","9,194","11,067", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_March,"9,323","11,785","9,480","14,300", -   , -   , -   , -   , -   , -   , -   , -   , -   
MUSEUM_IN _DOCKLANDS_FY_Total,"106,856","101,075","94,059","100,834", -   , -   , -   , -   , -   , -   , -   , -   , -   
